,video_id,comments
22,SE7Yx_b0bE8,"['Meine bohot fun Kiya ye video banate hue 😁 I hope tum sabko bhee utna hee maza aaye aur outro mein surprise hai! Chalo Chalo ab video dekho bye ♥️', 'https://youtube.com/channel/UCwl3n7gf45LJnddqQHdE5yQ', 'Sandeep maheshwari sir ke milne jaaoo', 'Kamal Londiya 😂😂😂😂', 'Op🥰', 'Jeoo jeooo bhai hahaha', ""8:01 It's 2022 and iss saal MC STAN⚡aya hai"", 'Hahaha😂🤣', 'carry bhai iam from pakistan we love you', 'https://youtube.com/channel/UC0OoTin70JAlmUuTY2Mh4XA']"
23,zIysUw3B3Gs,"['Ye Duniya Bokhlagyi hai!! \n\nWho all agree like here 😑😑', '🪳🪳🪳🤔😜😜🤪🤪🤪🤪😜🤪😜😏😂🤪😂', 'Op video', 'Carryminati is also a dubbing artist 💖', '😂', '🤣🤣🤣🤣🤣', '🤣🤣🤣🤣🤣🤣🤣🤣', '1:36 to 2:17 shows lack of female animals in India 😭', 'Bas kar bhai pet main dard ho raha hain has has ke 😂😂😂😂', '😄']"
24,7x9OmRGtF4E,"['Jo batayega ""Prank Kahan hai"" Usko milenge 101 rupaye 😁', 'then he say 15 lakh when i say 15 lakh🤑🤑', 'kya nishana tha be', 'Prank yaha hai was awesome 😂😂', '😂😂😂😂😂😂😂😂', 'Yeh le dil ka rasta, chal note  kar 🤡\nAdress: Nostrils se Oseophagus mai aur oseophagus se lungs mai and then waha se pulmonary veins ke through heart ke pehle chamber mai aapka swagat ho jayega 🤡', 'Only#1%people notice carry s glass 📌', 'Prank kaha hai 😂😂', 'Ye video to suru hote hi khatam ho gaya', '🤣🤣🤣🤣🤣🤣🤣🤣 kya gana hai']"
25,bHLJjgzCDzU,"['Pagal Hoke nacho ya naach ke pagal hojaye mujhe nhi pata subscribe hojana chahiye #10mil', ""I'm from Pakistan \nI'm your biggest fan"", '2:42 aaj sach main diwali hai 😂', 'Watching again 😁', 'UNSTOPPABLE CARRY BHAI 😅😂🤣', '2022', '🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'Nice', '0:05 0:14 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂', 'Bhai aapane bhi kela khana shuru kar diya 😂😂']"
26,U8qEsK3liMI,"['Aagyi Aagyi TRENDING PE AAGYI 😭😭', 'Love you carry bhai. (gulabi dil)..', 'भाई तुम्हारी एज क्या है', ""And now it's 30m + \nWhere are you gonna jump from LoL #AskCarry"", 'Carryminati kya tum smoke karte ho', '♥️❣️💔💘', 'bhai Jannat zubeir ko rost karo (tik toker)', '❤️gulabi dill carry 💚💚', 'Bhai kisi ko rust Karo', 'Fffhfuduritsits']"
27,uyFxLg_LYU0,"['Fun fact-carry is real Badshah 😂 (no hate)', 'UNSTOPPABLE CARRY BHAI ❣️🤣🤣😂', 'Watching in 2022. I wish old carry can come back 😭😭😭', 'Legends are watching this video in 2022🤣', 'Love you carry bhai', 'Tik tok national aap toh nahi bana magar baan jarur ho gaya 😂😂😂😂😂😂😂', 'Carry bhai ye mohit kon he???', '2.23 is best part👍😂😂', '😂😂king😂', 'TikTok se paisa kama rahe hai log tere ko kya pata']"
28,0MpVfUK9uho,"['Tell me your school trip stories! \nLove you all <3', 'Bhai Carry yeh kaunsa game khel raha hai', 'Ha', 'Mast bro😂😂😂', 'https://youtube.com/c/r4Rex', '🥰🥰🥰🥰🥰🥰🥰😍🥰😍🥰', '😘😘😘😘😘😘😘', '🤣🤣🤣🤣🤣🤣🤣', '💗💗💗💗💗💗', 'Bhi yogendra fakta bhout hai']"
29,pJZTizXITW0,"['Love u carry 💖', '| This music is for politics |', '20M Crossed❤️✨', 'rahul gandi roast kiya', 'Rapper song =  trigger', 'Nerd😍❤', 'BRO CARRY MAHESHWARI HARD WORKING 🤣', 'This is lit!❤️❤️❤️❤️', ""The 1st rap jo maine suna tha!\nThen maine\nSheck chili suna\nThen emiway ko suna\nThen ase ase karte karte sunne laga\nNow I'm a die hard Dhh fan!\nAnd A Awaam also❤"", 'After 3 years also.... IT is ROCKING🔥🔥🤟🤟🤟']"
30,_575JFx6Iq4,"['Valentine ka Kya scene hai? \n\n\n\n\n\nHilao.', 'Complete roasted..sir', 'Nice 👌 skchauhan 9927', '😛😛😛🤣🤣🤣🤣😅', '😂😂😂', 'Achha dhoya bhai', 'Bhai ye bakchod ki gf to hamari gali rati he madarchod or uska husband bhi he', 'I already i subscribed\nAnd liked i like your videos', 'Hi 90', '“Itne bure log toh aadhar card mein vi nahi lagte”😹']"
31,4DOHUzTdS_8,"['Thank you everybody for all your support! \nPyaar dete raho mein kaam karta rahunga  🙏\nThank you ❤', '6:15 👉🏻👈🏻 Chewingum thuk du tya😐', '2:47 ab samajh aaya ki aap aise kyu ho😂 Khandani bimari hai aapki', '❤️❤️', 'When you realise Feb 30 2020 is never going to come', 'op😋😋😋😋😋😋😋😋', '😋😋😋😋😋😋😋😋😋😋', 'Carryminati ma tara छू  debau', 'Sorav Joshi roast', 'are bhai apna pixwara dekhao jara']"
